n_nodes,tree,method,cost,time
5,True,opt_einsum.greedy,2208,0.0
5,True,opt_einsum.dp,2208,0.0
5,True,cotengra.hyper,inf,0.0
6,True,opt_einsum.greedy,6468,0.0
6,True,opt_einsum.dp,17016,0.0
6,True,cotengra.hyper,inf,0.0
7,True,opt_einsum.greedy,62028,0.0
7,True,opt_einsum.dp,86790,0.0
7,True,cotengra.hyper,inf,0.0
8,True,opt_einsum.greedy,146628,0.0
8,True,opt_einsum.dp,435450,0.0
8,True,cotengra.hyper,inf,0.0
9,True,opt_einsum.greedy,657194,0.0
9,True,opt_einsum.dp,1201620,0.0
9,True,cotengra.hyper,inf,0.0
10,True,opt_einsum.greedy,8683212,0.0
10,True,opt_einsum.dp,22515900,0.0
10,True,cotengra.hyper,inf,0.001088857650756836
5,False,opt_einsum.greedy,68976,0.0
5,False,opt_einsum.dp,68220,0.0
5,False,cotengra.hyper,inf,0.0
6,False,opt_einsum.greedy,58681935,0.0
6,False,opt_einsum.dp,103410135,0.0
6,False,cotengra.hyper,inf,0.0
7,False,opt_einsum.greedy,88322916,0.0
7,False,opt_einsum.dp,160099380,0.0
7,False,cotengra.hyper,inf,0.0
8,False,opt_einsum.greedy,16071716118780,0.0042552947998046875
8,False,opt_einsum.dp,48062895327720,0.0
8,False,cotengra.hyper,inf,0.0
9,False,opt_einsum.greedy,239756120321100,0.0
9,False,opt_einsum.dp,452797837229220,0.0010037422180175781
9,False,cotengra.hyper,inf,0.0
10,False,opt_einsum.greedy,804245462229749040,0.0
10,False,opt_einsum.dp,1676551412218784400,0.0009126663208007812
10,False,cotengra.hyper,inf,0.0
