n,tree,cost_greedy,time_greedy,cost_dp,time_dp,cost_hyper,time_hyper,cost_ikkbz,time_ikkbz
6,True,231360,0.0001900196075439453,445376,0.0002617835998535156,220448,1.6994297504425049,61.0,0.00037598609924316406
6,True,291720,0.0001533031463623047,268620,0.0001983642578125,132675,1.0648410320281982,58.0,0.0002028942108154297
6,True,9546,0.00014019012451171875,9546,0.0001399517059326172,4530,1.047989845275879,38.0,0.0002105236053466797
6,False,401340,0.00018072128295898438,597825,0.00018095970153808594,200430,1.2877418994903564,,
6,False,70389,0.00014019012451171875,64834,0.00013780593872070312,31320,0.8056352138519287,,
6,False,114300,0.0001285076141357422,224160,0.00014328956604003906,103784,1.134418249130249,,
8,True,2633836,0.0001609325408935547,5345196,0.0001678466796875,2612348,1.0522525310516357,69.0,0.00019693374633789062
8,True,2610678,0.00017142295837402344,5005872,0.00017690658569335938,2339088,1.1046407222747803,67.0,0.00018668174743652344
8,True,467954,0.0001628398895263672,889154,0.000171661376953125,440556,1.0948498249053955,60.0,0.0004336833953857422
8,False,1415690958,0.0003681182861328125,2198051310,0.0003657341003417969,708147480,0.8379480838775635,,
8,False,110229138450,0.00018262863159179688,214581356640,0.00019431114196777344,102941813370,0.6839559078216553,,
8,False,23920222,0.00017881393432617188,47437856,0.00018930435180664062,15833270,0.7970292568206787,,
10,True,262724202,0.00020122528076171875,481157760,0.0002002716064453125,233712482,1.0173559188842773,88.0,0.00021386146545410156
10,True,63134100,0.00018143653869628906,257351580,0.00021219253540039062,62932500,0.8413653373718262,79.0,0.0002384185791015625
10,True,25961130,0.00019240379333496094,48705012,0.00020956993103027344,22327341,1.2651081085205078,77.0,0.0002467632293701172
10,False,70341062580,0.00020647048950195312,144797650030,0.0002186298370361328,69876040481,1.1837310791015625,,
10,False,54199106622797436980,0.00028204917907714844,114268163861006628660,0.00028634071350097656,54109338143954124090,1.2467570304870605,,
10,False,4857278045780032,0.00027871131896972656,10058569669368000,0.000270843505859375,4768799202157860,1.007211685180664,,
12,True,31883757782,0.00021886825561523438,122916608406,0.00024628639221191406,29742901398,0.9045825004577637,112.0,0.00027632713317871094
12,True,8532339628,0.00022029876708984375,39730306770,0.00024199485778808594,7921802168,0.9223437309265137,102.0,0.00033593177795410156
12,True,3716980617,0.0002243518829345703,7698003498,0.00024962425231933594,3716412192,0.774425745010376,103.0,0.0002968311309814453
12,False,164355340315392,0.00025153160095214844,449561335161420,0.00033545494079589844,146057483846491,0.6841108798980713,,
12,False,7115087090000411344878,0.0003845691680908203,21394573868621850685440,0.0003657341003417969,7108895109542860061880,5.823525428771973,,
12,False,22948647757171357228425306,0.00046253204345703125,71399590331953352314216770,0.0004520416259765625,22948598420786272528746144,0.984886884689331,,
